Year,Emissions.HFC134a eq Emissions,Ozone Forcing.Montreal gases equivalent effective stratospheric chlorine,Minor GHGs Forcing.Montreal Gases Effective Radiative Forcing,Emissions.CO Emissions,Emissions.CO2 Emissions from Fossil use,Emissions.Total NOx Emissions,Emissions.Total SO2 Emissions,Emissions.VOC Emissions,N2O Forcing.Atmos N2O exogenous,CH4 Forcing.Atmos CH4 exogenous
2147,1014.0756233989625,394.35024065323785,0.06563423616652807,333.4615055101774,9944.949224028303,58.31098651291929,21.80104737953473,95.49838619037708,378.3169860839844,1493.1197408040364
2148,1008.7453860033324,390.32414638853186,0.0649239440141271,332.366616183472,9848.396318940651,57.89862184198394,21.609103836601165,94.9622082270542,378.3019765218099,1488.5997111002605
2149,1003.3768605195344,386.3240434855343,0.06422166706021235,331.27172685676663,9751.843413852996,57.48625717104859,21.417160293667603,94.42603026373128,378.2859853108724,1484.0797220865886
2150,997.9709422449633,382.3494364715485,0.06352729432214543,330.1768375300612,9655.290508765343,57.073892500113246,21.22521675073404,93.8898523004084,378.26898193359375,1479.5597330729167
2151,992.528502780836,378.39984142677565,0.062840716807252,329.0819482033558,9558.73760367769,56.6615278291779,21.03327320780048,93.35367433708552,378.2499821980794,1475.0297241210938
2152,987.0503906672176,374.4747856467876,0.06216182745814555,327.9870588766504,9462.184698590036,56.24916315824255,20.84132966486692,92.81749637376262,378.22998046875,1470.4997253417969
2153,981.5374320039924,370.5738073180128,0.0614905211005946,326.892169549945,9365.631793502384,55.8367984873072,20.64938612193336,92.28131841043972,378.20898183186847,1465.979736328125
2154,975.9904310571806,366.69645520555156,0.06082669439376162,325.7972802232396,9269.078888414731,55.42443381637185,20.4574425789998,91.74514044711684,378.1869812011719,1461.449727376302
2155,970.4101708511071,362.8422883526807,0.060170245782654716,324.7023908965342,9172.525983327076,55.012069145436506,20.26549903606623,91.20896248379395,378.1629842122396,1456.9197285970051
2156,964.7974137459718,359.01087579145394,0.059521075452646524,323.6075015698288,9075.973078239424,54.59970447450116,20.07355549313267,90.67278452047104,378.1379877726237,1452.3997294108074
2157,959.152902001187,355.2017962638413,0.0588790852859256,322.5126122431234,8979.420173151771,54.18733980356581,19.881611950199108,90.13660655714816,378.1109873453776,1447.8697509765625
2158,953.4773583244944,351.41463795288945,0.05824417881975739,321.417722916418,8882.867268064118,53.77497513263046,19.689668407265547,89.60042859382527,378.083984375,1443.3397216796875
