Year,Natural Forcing.Baseline Effective Radiative Forcing from Solar Output Variations,Natural Forcing.Baseline Effective Radiative Forcing from Volcanoes,Minor GHGs Forcing.Montreal Gases Effective Radiative Forcing,Ozone Forcing.Montreal gases equivalent effective stratospheric chlorine
2246,-0.0235539295078338,0.0,0.02304028829682543,73.23355864172245
2247,-0.0325156326729844,0.0,0.022767941011952883,70.40523331964401
2248,-0.046733674224902,0.0,0.0224980760331275,67.58211663869395
2249,-0.0554565721127356,0.0,0.02223066542297387,64.76413512828366
2250,-0.0620379250531058,0.0,0.02196568159313604,61.95121651807575
2251,-0.0628912984745526,0.0,0.02170309729927504,59.143289715217165
2252,-0.0530011456884831,0.0,0.021462702774568177,57.96923277862652
2253,-0.0322828633825272,0.0,0.02122945040940573,57.306953246659525
2254,-0.0086123721582042,0.0,0.02099995696820855,56.80840783399465
2255,-0.0047734740016243,0.0,0.020773299344317406,56.3650884180887
2256,0.0012099953287637,0.0,0.020549180725426806,55.94296506646361
2257,-0.0030892090990144,0.0,0.0203274863766094,55.53127360214437
2258,-0.0186099114882563,0.0,0.020108158690950406,55.12655153123916
2259,-0.0295560519259704,0.0,0.019891158888623344,54.72763902805373
2260,-0.0507654879496114,0.0,0.019676454768753203,54.33410662746295
2261,-0.0610704750183258,0.0,0.01946401670593537,53.94575856706795
2262,-0.0603767404694195,0.0,0.019253816317203586,53.5624752198645
2263,-0.056277120191717,0.0,0.01904582600360768,53.184162859741775
2264,-0.0351025422929301,0.0,0.01884001878054528,52.81073753541986
2265,-0.0052806853806001,0.0,0.01863636820462394,52.4421198265351
2266,0.0173957279595039,0.0,0.01843484833374571,52.078233087227126
2267,0.038704375955563,0.0,0.0182354336994537,51.71900281454577
2268,0.0156335468944396,0.0,0.01803809928451571,51.364356384038274
2269,-0.0021028673957911,0.0,0.017842820503317126,51.014222908542536
2270,-0.0257981485922783,0.0,0.017649573184159127,50.66853314112913
2271,-0.0400718298984705,0.0,0.01745833355307011,50.327219396254556
2272,-0.0536750824760636,0.0,0.017269078218916437,49.990215480368164
2273,-0.0538592430780596,0.0,0.017081784159665235,49.65745662880636
2274,-0.0376242903008779,0.0,0.016896428709682054,49.32887944765083
2275,-0.0140810827612656,0.0,0.016712989547962593,49.00442185985476
2276,0.0029879080064486,0.0,0.016531444687209414,48.684023055171735
2277,0.0025891477342262,0.0,0.016351772463674034,48.367623443518916
2278,-0.0010541660901429,0.0,0.0161739515276927,48.05516461145972
2279,-0.0138698123604669,0.0,0.015997960834851565,47.7465892815276
2280,-0.0368806680933715,0.0,0.015823779637723034,47.44184127414011
2281,-0.048919328226283,0.0,0.015651387478121222,47.14086547187859
2282,-0.0535553949535862,0.0,0.015480764179829217,46.843607785929535
2283,-0.0559237776055654,0.0,0.015311889841755775,46.550015124503844
2284,-0.0444015997500022,0.0,0.015144744831483077,46.26003536306738
2285,-0.0160513299118559,0.0,0.014979309779171144,45.97361731623232
2286,0.0138470861840352,0.0,0.014815565571787561,45.69071071117289
2287,0.0237310190553893,0.0,0.014653493347634609,45.411266162442004
2288,0.0228510343672357,0.0,0.014493074491148271,45.135235148076816
2289,-0.0110429861886036,0.0,0.014334290627946339,44.86256998689188
2290,-0.0188952953575967,0.0,0.014177123620104846,44.59322381686753
2291,-0.0370661312549636,0.0,0.014021555561644188,44.327150574550274
2292,-0.0524136514918284,0.0,0.013867568774208085,44.06430497538923
2293,-0.0610248700177934,0.0,0.013715145802920034,43.80464249493941
2294,-0.0543924411864507,0.0,0.013564269412403542,43.548119350869534
